Roll No.,Feedback
1,"The teaching was good, easy to understand"
2,"Not at all audible, was to difficult to understand"
3,Best Company to work for
4,"Moving at the speed of light, burn out is inevitable"
5,"Great balance between big-company security and fun, fast-moving projects"
6,The best place I've worked and also the most demanding.
7,Execellent for engineers
8,"Great benefits, but large enough to get lost in."
9,Not great for new hires
10,"Amazing place to work, challenging environment"
